pack_id,age_days,cycle_count,avg_ambient,max_pack_temp,avg_C_rate,avg_SOC,hours_above_40,cumulative_Wh,SoH
32,43,1152,31.57,35.12,1.515,69.73,88.41,2646535.0,70.047
33,502,2939,27.17,36.23,0.831,59.74,41.72,10604511.9,35.0
34,1672,1415,28.58,37.28,0.978,58.31,0.0,4599695.4,63.417
35,1024,1130,28.03,35.78,0.168,58.98,154.0,5366419.8,40.862
36,937,1629,40.46,50.22,1.297,59.66,55.32,4666216.5,59.526
37,1206,2099,28.86,41.54,1.251,97.77,108.46,10091613.1,35.0
38,363,2412,39.07,49.62,0.381,46.75,52.62,9093789.2,35.0
39,284,1716,33.65,34.82,0.983,66.3,83.11,5965604.8,38.006
40,1694,403,20.51,34.41,1.021,80.24,4.32,1617518.8,81.916
41,1639,2299,31.62,36.17,0.711,62.25,80.67,11054471.1,35.0
42,282,2202,25.54,30.25,0.921,80.2,50.91,10921688.0,35.0
43,864,399,43.97,51.15,0.05,93.88,13.38,812726.3,97.79
44,879,921,20.39,25.22,1.064,74.44,72.1,2147555.8,66.747
45,1378,887,32.76,43.56,0.883,78.68,68.34,1851167.7,79.952
46,1713,2341,34.92,41.35,1.113,60.21,40.6,5044793.6,44.788
47,1927,753,16.0,21.29,1.25,59.87,65.82,3083054.9,64.278
48,254,418,29.41,42.83,0.855,49.93,2.45,1757214.8,80.464
49,226,2144,40.32,42.8,1.036,46.27,87.98,9974825.2,35.0
50,761,320,26.8,30.52,0.407,72.7,34.86,1189516.6,93.16
51,1096,938,21.14,33.41,0.601,85.06,80.67,3306504.6,74.046
52,284,401,30.42,39.06,1.446,49.78,76.65,1565458.8,93.626
53,1685,692,17.56,21.09,0.525,59.72,204.98,1852330.8,76.562
54,1191,2120,28.29,37.04,1.172,58.89,135.11,6983819.7,35.0
55,1924,1562,38.6,46.97,1.148,63.98,36.37,6872192.7,43.93
56,786,1507,33.67,44.34,1.451,71.6,27.1,4524601.9,49.132
57,161,2240,27.99,28.02,0.05,89.55,121.61,8517647.5,35.0
58,1018,2877,44.52,54.26,0.464,73.37,0.0,9101461.7,35.0
59,1359,666,32.07,42.74,0.387,81.16,180.31,2442826.9,72.882
60,1312,467,38.42,44.65,1.673,67.37,70.66,1591527.0,88.673
61,510,2725,32.71,34.45,1.182,55.3,141.83,9482645.6,35.0
62,1685,2538,31.49,38.77,0.648,62.13,66.27,7867356.2,35.0
63,1864,2541,33.34,42.52,2.021,63.43,25.43,9557645.8,35.0
64,1178,1521,26.92,31.36,0.758,71.02,54.09,3851962.5,56.224
65,540,123,26.08,36.28,0.913,38.93,44.56,348590.2,98.479
66,1435,2946,38.02,51.01,0.648,71.54,0.0,14404860.8,35.0
67,176,386,41.98,45.28,0.298,69.24,178.89,1912141.4,74.047
68,1941,2262,27.46,28.85,0.05,57.38,8.35,11211875.6,35.0
69,506,1264,26.53,39.63,0.423,53.54,93.29,5647235.1,35.178
70,1907,193,23.79,32.74,0.05,73.03,0.0,814130.8,84.273
71,1818,741,38.71,44.94,0.819,69.84,0.43,1547817.0,84.485
72,1232,2031,23.76,25.41,1.767,99.0,17.58,7658821.3,35.0
73,1112,2665,23.32,33.64,1.115,38.1,105.94,13314953.2,35.0
74,1082,453,33.69,34.77,0.899,57.97,197.83,1088604.6,88.489
75,721,645,31.92,36.44,0.906,86.83,24.1,3146069.9,62.523
76,1961,889,29.51,30.69,0.05,73.68,8.18,3757762.0,58.83
77,79,933,22.1,33.44,1.01,99.0,83.62,4082736.4,60.063
78,1726,1454,37.51,43.43,0.539,56.38,113.26,3352462.3,68.787
79,1565,1562,28.53,40.33,0.05,50.12,0.0,4277068.1,53.472
80,549,1572,36.68,43.7,0.182,63.97,133.93,6436662.7,35.0
81,996,1212,33.88,41.83,1.221,46.37,49.03,4271696.5,57.366
82,837,1322,27.89,31.81,0.742,85.3,0.0,4547138.2,45.057
83,1495,1025,34.6,38.04,0.128,73.06,54.66,2195675.1,84.573
84,206,77,34.67,45.89,0.05,24.55,130.14,285488.0,96.225
85,1003,63,35.59,50.78,1.11,58.31,0.0,174055.8,87.964
86,1937,1830,40.71,53.26,0.247,80.39,101.17,6958029.2,35.0
87,1282,987,33.82,43.18,0.05,66.51,5.5,4121267.8,64.304
88,1657,985,31.53,44.93,0.807,68.65,0.0,2481049.3,83.511
89,552,61,29.52,44.71,1.337,65.21,69.9,283109.6,89.51
90,389,855,25.52,28.52,1.107,72.04,0.0,1756581.8,78.044
91,1699,2627,30.23,34.85,0.15,71.2,80.34,10973790.5,35.0
92,1443,2951,28.09,36.95,0.679,54.6,70.23,9513682.5,35.0
93,1325,1215,31.46,40.56,0.116,56.34,165.02,5560992.5,45.626
94,704,1435,18.83,26.95,0.819,62.88,147.14,6017540.4,35.0
95,905,358,27.72,32.71,0.263,59.13,164.2,1514626.8,91.78
96,1976,1162,40.52,48.15,0.879,71.58,304.31,4349329.0,61.635
97,1164,2809,27.06,38.7,0.819,70.01,51.12,6990518.1,35.151
98,76,2866,24.11,26.34,0.765,66.51,0.0,7469553.5,35.0
99,142,1431,29.72,38.84,0.195,78.04,55.04,4989209.6,44.962
100,296,919,29.38,37.27,0.935,82.06,0.0,4465418.6,53.304
101,1884,948,27.41,29.42,0.05,50.01,5.38,2366145.4,77.607
102,240,2563,25.94,30.49,1.087,37.36,81.18,10969755.1,35.0
103,1218,2827,42.36,49.46,0.05,66.26,0.0,7176272.3,36.628
104,394,773,35.92,48.55,1.662,74.53,159.07,2113683.1,79.261
105,176,2669,26.57,33.91,1.929,61.95,83.1,8817546.6,35.0
106,389,2859,36.99,51.58,0.986,75.61,0.0,7889564.4,35.0
107,339,2754,35.32,45.28,1.52,70.21,21.54,7054968.2,35.0
108,1639,2237,19.66,29.47,1.087,44.08,0.0,6771871.1,35.0
109,136,2264,32.45,46.92,0.879,46.96,41.22,4543681.2,63.265
110,1759,233,35.55,43.68,0.63,63.09,67.85,1110374.9,85.386
111,1447,1410,27.53,29.86,1.066,73.34,0.0,3569706.2,59.628
112,1179,168,21.57,30.9,0.618,56.31,119.64,813557.9,96.449
113,806,1239,32.12,43.18,0.873,67.35,115.9,4883165.9,55.796
114,944,1348,30.02,39.38,1.202,58.25,110.5,2775935.5,67.379
115,349,2345,20.07,23.89,0.187,65.94,28.09,5665434.4,51.528
116,1831,2735,32.46,42.92,0.05,58.44,0.0,7563152.4,35.0
117,1444,2929,31.22,37.22,1.091,55.5,49.89,11220068.6,35.0
118,1699,2569,24.27,36.17,1.219,66.83,0.0,7020087.9,35.0
119,652,2537,32.63,35.66,0.678,66.97,245.61,8548057.7,35.0
120,1278,903,30.71,40.49,0.708,91.17,13.48,4137283.9,58.065
121,107,1041,32.73,46.51,0.754,61.46,0.0,3300165.5,64.118
122,1893,504,37.91,57.15,0.448,90.84,69.5,1216652.2,83.152
123,968,2660,27.55,29.96,0.05,76.76,27.86,9726435.7,35.0
124,1599,1975,26.06,38.97,1.748,73.9,127.89,5836083.8,46.162
125,443,201,33.12,36.73,1.22,40.6,0.0,653249.6,97.241
126,1437,2414,23.09,30.12,0.861,66.42,140.69,5939831.8,48.303
127,1034,205,30.02,35.02,0.659,61.68,28.39,916223.3,85.426
128,158,2589,24.63,31.58,0.388,89.87,36.8,10908473.6,35.0
129,426,1537,30.02,44.9,0.05,28.97,6.55,6539124.1,35.759
130,694,570,36.11,48.24,0.91,82.33,71.81,2257553.1,79.987
131,391,2631,38.84,40.64,0.05,43.63,20.94,7543736.7,35.0
132,1499,1675,44.74,59.95,0.553,58.46,0.0,5793115.2,36.751
133,539,2285,20.4,25.35,0.889,71.59,83.4,6727608.6,35.0
134,1693,244,29.94,32.43,0.61,71.58,99.04,1139673.2,86.326
135,1685,2809,34.5,50.24,1.976,42.9,0.0,7422155.7,35.0
136,236,1297,32.52,40.11,0.41,52.86,0.0,2809057.2,68.691
137,1860,1850,27.07,34.32,0.372,17.27,0.0,4340061.7,54.489
138,422,2564,29.73,42.9,1.047,79.09,0.0,8214530.1,35.0
139,200,1751,33.4,39.2,0.126,43.69,56.92,5590199.0,39.715
140,1319,997,33.71,47.92,1.566,46.98,184.69,3216330.1,67.667
141,776,2783,19.15,26.47,0.05,82.41,171.34,9421717.7,35.0
142,758,996,34.65,42.49,1.844,56.32,129.95,3154621.0,64.237
143,1523,2278,29.31,33.96,1.197,76.7,97.48,4915304.3,49.862
144,234,2775,26.26,34.35,0.44,94.16,79.1,5770882.5,42.119
145,501,1514,34.78,43.02,0.95,41.12,48.14,4722441.2,42.501
146,1353,523,27.63,28.15,0.955,80.22,0.0,2388502.5,74.747
147,1925,2640,17.49,27.95,1.252,60.48,0.0,10089114.5,35.0
148,281,1281,22.92,34.14,0.395,72.27,95.24,5922066.5,35.0
149,1027,1417,37.14,42.1,0.464,64.6,0.0,3004443.9,73.164
150,1865,682,29.26,40.23,0.05,45.65,120.12,2192617.8,79.626
151,512,288,33.95,52.79,0.672,50.64,84.22,607016.6,100.0
152,972,2878,31.96,37.03,1.35,63.04,29.77,13836337.0,35.0
153,39,2512,32.8,39.29,0.496,57.61,29.68,8377641.0,35.0
154,598,966,27.72,37.23,0.124,88.92,149.65,3983331.6,48.912
155,1249,2534,20.37,28.27,1.019,75.01,64.18,11901601.8,35.0
156,1535,1474,28.1,35.44,0.05,66.7,149.9,3290422.4,73.268
157,411,2795,38.86,44.69,1.077,31.32,198.99,7423834.9,35.0
158,1746,2932,37.1,43.8,0.678,56.15,3.55,10865139.2,35.0
159,1330,1896,33.08,39.4,2.138,36.78,150.87,5770859.6,42.234
160,832,1341,35.83,43.94,0.67,61.23,81.24,3972313.4,70.949
161,349,1332,35.53,46.15,1.247,60.12,0.0,3092820.2,61.496
162,92,1549,27.36,31.18,0.052,85.18,0.0,3408539.3,65.002
163,1447,1930,31.74,49.04,1.71,59.48,2.54,4209315.4,64.834
164,1502,2356,38.8,46.35,2.18,66.63,192.83,9394759.2,35.0
165,1418,1144,32.76,44.71,0.824,41.84,0.0,3027579.3,63.053
166,792,635,29.92,30.96,0.686,62.07,217.68,3091268.9,68.181
167,808,909,33.38,41.84,0.998,79.0,0.0,2793400.5,78.09
168,796,856,26.3,34.21,0.426,45.71,21.71,2947524.1,72.538
169,244,2454,22.91,28.65,0.425,88.85,76.42,8349621.2,35.0
170,1822,2267,41.99,50.51,0.841,74.87,121.65,7045424.6,35.0
171,146,2793,37.87,44.61,0.05,42.18,0.0,13041462.2,35.0
172,736,1409,37.19,44.51,0.05,76.11,94.43,5219643.4,46.374
173,1979,370,24.24,35.24,0.05,48.26,171.31,1727787.9,77.998
174,1505,840,38.18,45.24,0.05,50.54,94.1,2107895.9,76.83
175,1269,2850,27.81,30.3,0.423,51.89,111.72,12642499.1,35.0
176,1545,463,25.1,28.51,0.236,53.57,0.0,1293526.1,86.014
177,1408,796,28.68,38.05,0.792,38.84,0.0,1602282.2,77.211
178,1769,164,37.14,44.53,1.13,52.34,40.45,695561.3,77.509
179,370,626,27.27,29.72,0.05,61.87,0.0,3098049.9,74.368
180,508,2773,39.47,43.2,0.767,85.39,151.16,7214479.2,35.0
181,498,903,31.17,38.3,0.57,70.19,29.81,2496059.1,81.729
182,1041,1236,47.49,48.38,0.994,51.32,96.19,4842340.3,47.56
183,803,2756,36.79,38.17,1.754,71.75,136.23,8040356.3,35.0
184,1216,428,31.7,44.04,0.05,82.53,50.66,1533255.6,82.841
185,347,2260,27.23,37.83,0.05,65.96,40.47,8470328.7,35.0
186,1923,2743,37.64,47.78,0.569,60.74,0.0,12029966.3,35.0
187,1633,2757,44.32,47.92,0.738,97.37,145.31,6289884.5,39.149
188,221,887,25.81,33.45,0.05,67.43,86.0,3823483.9,59.284
189,609,1992,25.64,32.52,0.05,46.54,6.98,6945735.9,35.0
190,1641,2602,31.49,38.92,1.324,55.37,0.0,11968748.5,35.0
191,1108,1617,27.21,44.7,0.05,68.67,0.0,6678291.9,35.0
192,1858,1618,41.42,47.6,0.956,83.45,36.88,7176246.0,35.0
193,283,466,23.92,32.43,0.45,55.49,98.5,1228057.5,92.525
194,779,260,41.54,54.05,0.859,48.07,7.66,1124045.4,81.407
195,635,1933,28.71,30.95,0.49,81.46,0.0,4850172.1,49.738
196,861,502,38.86,48.89,0.05,77.08,0.0,1121083.5,89.713
197,1512,689,25.35,30.88,0.406,54.82,137.94,2523708.3,74.658
198,335,1889,30.42,33.72,0.333,53.66,0.0,6310235.7,47.979
199,1992,705,24.49,43.73,0.529,66.3,0.0,2465795.8,70.678
200,1861,1500,31.26,34.78,1.677,79.57,57.64,5167162.2,47.074
201,1128,1431,36.66,38.29,0.981,83.28,0.0,2864439.0,74.733
202,1091,2213,28.05,34.74,0.711,54.86,14.56,8586257.8,35.0
203,636,1266,30.55,30.87,1.086,64.99,53.18,5759275.3,37.292
204,1459,896,29.96,38.64,0.523,76.96,124.61,3207966.4,57.098
205,821,2802,37.33,47.91,0.272,77.13,118.84,13889131.0,35.0
206,1176,2405,30.34,33.88,1.049,75.42,57.04,9403576.1,35.0
207,1621,1033,26.48,34.52,1.327,38.05,0.0,2772162.3,78.945
208,378,112,33.97,39.4,0.939,59.61,103.77,242458.2,90.035
209,73,2553,32.36,34.77,1.193,45.48,163.0,11254279.5,35.0
210,1109,576,34.07,40.59,0.941,80.69,5.06,2404483.5,74.48
211,1746,1507,34.38,49.61,1.655,35.73,107.99,4606352.7,46.303
212,671,1345,31.6,35.35,0.92,36.9,93.43,3104788.7,67.54
213,1398,774,28.4,34.08,0.05,73.15,14.0,3462292.9,58.664
214,1228,2792,29.22,39.7,0.103,65.58,61.79,13710408.4,35.0
215,407,1673,33.31,36.98,1.514,10.14,0.72,6216074.9,35.0
216,1426,271,36.16,36.48,1.477,64.01,0.0,1330169.8,76.986
217,1940,565,19.69,26.07,0.282,88.28,0.0,2586956.1,78.179
218,1577,763,25.19,28.09,0.857,42.9,0.0,1870719.5,72.34
219,1719,1052,24.77,40.78,0.834,69.42,0.0,4773027.3,48.392
220,99,1366,22.78,29.64,0.448,67.96,0.0,3312436.5,61.387
221,291,189,31.43,39.08,0.542,79.34,31.13,536553.8,90.935
222,633,1152,34.62,35.05,0.93,93.35,89.09,3665912.7,70.092
223,1698,1614,25.28,32.12,0.919,51.19,0.0,3713591.6,63.108
224,669,115,35.79,44.14,1.035,70.47,42.68,550561.1,99.811
225,751,1362,32.6,41.61,0.05,85.21,42.46,4572947.4,53.51
226,36,1465,40.66,51.3,0.794,93.62,62.74,5145360.9,49.885
227,46,2793,30.09,34.93,0.878,63.74,0.0,9341906.5,35.0
228,1729,1200,27.13,40.36,0.504,76.87,18.25,3810615.8,49.756
229,940,584,24.04,33.22,1.354,76.88,203.32,1985324.2,75.172
230,139,1737,32.99,41.4,0.126,78.8,0.0,4119841.2,58.099
231,614,2430,27.04,27.8,0.438,45.33,0.0,7349813.9,35.0
232,1656,1623,28.96,40.82,0.781,74.55,34.32,3438618.7,64.925
233,691,858,30.34,33.19,0.779,65.97,0.0,2560076.1,64.843
234,475,646,30.95,43.04,1.266,63.28,12.56,1901659.1,82.982
235,1474,2540,30.79,42.07,0.857,79.12,119.67,12160825.9,35.0
236,907,2321,19.71,24.86,1.263,59.97,9.04,8836582.6,35.0
237,1511,863,32.34,42.33,1.347,68.57,89.15,2826590.7,66.671
238,1726,2686,34.64,44.86,0.827,50.44,55.41,9422590.0,35.0
239,1228,1719,32.53,44.81,0.859,99.0,19.76,8427877.2,35.0
240,1855,1603,35.08,44.35,1.555,63.29,23.43,3759929.7,60.131
241,542,223,24.34,36.09,0.581,67.29,44.92,889496.5,86.133
242,544,2689,33.61,42.94,0.314,77.19,0.0,6638802.1,35.0
243,536,1473,33.63,46.62,2.488,34.23,0.0,4336736.4,60.407
244,1482,1277,22.7,32.04,0.831,73.66,90.62,2702456.4,66.743
245,1189,1983,18.83,22.82,0.05,65.31,40.26,5870637.6,54.922
246,950,925,24.41,28.42,0.822,68.11,0.0,2576762.4,76.659
247,511,1068,26.76,34.06,0.854,75.89,136.47,3808424.3,59.702
248,722,223,27.39,38.56,1.388,88.25,192.27,821984.1,93.005
249,88,1547,26.1,28.16,0.856,51.17,56.88,7003833.7,35.0
250,225,1690,33.48,50.22,0.966,73.73,0.0,5098849.8,52.204
251,1392,326,29.77,37.4,0.258,59.51,148.35,1344604.4,79.255
252,1224,932,26.28,27.95,0.353,64.02,143.25,4517051.0,59.159
253,503,1483,36.2,39.47,0.999,69.44,136.77,6961736.2,35.0
254,802,1184,28.83,38.74,1.274,75.95,32.86,4130817.6,53.371
255,1907,247,33.79,45.42,0.876,9.85,0.0,640805.2,94.362
256,1669,1762,30.08,42.5,0.966,73.25,79.04,8113497.8,35.0
257,1317,253,32.68,45.25,1.522,57.32,143.2,556396.3,100.0
258,178,312,28.16,34.2,0.266,15.27,15.22,1022964.6,85.23
259,85,1526,37.75,46.79,1.296,70.03,159.5,7109640.8,37.538
260,1533,826,32.43,49.37,0.638,72.55,150.62,2408981.0,76.808
261,110,492,16.68,30.56,0.902,82.99,0.0,1334602.7,74.834
262,253,189,30.51,49.58,1.301,83.89,117.51,713739.3,91.43
263,1135,82,34.87,38.99,0.694,52.55,170.16,300592.9,86.418
264,1392,2271,31.19,34.44,0.05,67.7,75.92,6788827.8,37.128
265,1819,2925,27.89,37.81,2.319,91.64,139.55,10480009.1,35.0
266,1533,415,28.57,36.11,1.756,58.62,0.0,915433.0,92.679
267,546,2284,28.36,39.52,0.05,55.69,104.72,11125169.3,35.0
268,842,1339,29.73,29.89,1.224,35.12,74.7,4611685.0,54.667
269,979,1242,26.13,36.49,0.532,82.64,72.49,5428446.0,42.018
270,236,855,27.87,29.36,0.479,48.78,176.05,2278757.9,66.481
271,778,1800,25.53,31.0,1.17,23.11,0.0,6406669.8,43.246
272,1572,471,36.8,53.23,0.454,64.7,195.76,1091424.9,86.873
273,1715,1180,28.54,32.71,0.21,69.98,129.64,5628491.5,38.247
274,1983,1679,34.44,45.72,2.362,58.23,13.35,8145649.7,35.0
275,1694,207,33.25,37.94,0.554,66.61,129.68,674674.3,86.932
276,1413,736,22.12,29.5,0.087,52.35,0.0,1832360.4,73.908
277,1549,1897,27.23,33.5,0.997,75.52,0.0,7386648.2,35.0
278,1042,2086,28.32,43.59,0.271,68.91,47.13,4249581.8,58.172
279,30,1339,38.27,46.26,1.289,52.37,111.28,3858839.2,62.141
280,244,1949,16.84,22.65,1.539,74.96,69.91,6609369.2,45.272
281,1241,2051,39.13,48.57,1.343,59.47,1.88,4717003.8,58.488
282,773,96,26.48,34.52,1.662,74.99,0.0,392656.8,100.0
283,595,2516,41.36,52.09,0.758,58.31,136.59,6284914.5,36.212
284,1713,2314,30.87,38.17,1.427,49.42,0.0,7452393.2,35.0
285,889,1263,28.08,39.23,0.773,56.23,25.05,4853199.3,50.923
286,131,1086,29.35,35.62,0.05,72.0,19.6,3782298.4,65.868
287,1129,2478,32.15,40.34,1.597,95.28,140.69,9202398.9,35.0
288,710,1060,32.82,49.91,1.184,91.52,64.63,4123883.3,60.664
289,505,1419,37.6,51.09,0.205,82.42,43.04,5285217.5,43.373
290,1662,2650,38.46,47.7,1.175,50.0,222.69,8640294.7,35.0
291,162,1385,37.43,46.57,0.05,83.69,6.5,6263092.6,35.0
292,1144,775,24.62,28.64,0.682,79.89,0.0,2636410.6,75.63
293,591,1226,18.86,24.14,0.795,81.75,0.0,5194493.3,43.736
294,1178,2568,31.27,37.06,0.707,89.36,167.3,10308492.8,35.0
295,356,2848,29.67,37.69,1.484,86.73,23.66,9056371.3,35.0
296,1356,1621,29.47,33.59,0.226,91.05,37.49,4360237.2,52.438
297,1608,2917,23.66,24.06,1.572,50.12,48.34,14505125.1,35.0
298,1048,1561,32.7,36.67,0.38,58.75,0.0,6796791.8,35.0
299,1049,2684,29.88,35.26,1.215,90.85,12.85,9072221.8,35.0
300,536,2134,33.05,33.96,1.072,87.19,32.27,6576337.8,35.0
301,1555,600,19.46,26.5,1.572,30.62,0.0,1345413.7,78.086
302,1815,2615,35.73,45.71,0.887,72.08,0.0,6018595.1,35.828
303,1194,2837,31.27,38.56,1.04,13.49,74.18,12478651.8,35.0
304,462,2274,23.16,30.59,0.841,67.07,62.95,5345814.0,48.221
305,464,1086,19.59,28.31,0.449,58.33,0.0,3427679.6,69.308
306,934,2232,22.19,37.1,0.523,64.54,17.78,9013833.0,35.0
307,48,1502,24.88,35.47,0.301,33.03,131.56,6298020.6,50.884
308,73,182,34.5,44.06,0.564,35.86,59.11,689812.6,88.566
309,1513,899,34.5,45.99,0.383,35.89,7.32,3052678.0,71.631
310,1058,2222,40.52,51.82,1.262,82.42,96.14,8731354.8,35.0
311,1059,1146,33.34,39.48,1.079,46.8,170.36,3012011.0,67.109
312,1187,239,30.57,38.61,0.766,54.62,14.04,708040.1,97.711
313,943,1999,36.6,47.3,1.136,60.36,95.87,4623188.5,48.224
314,1690,1260,24.11,28.69,0.865,96.07,0.0,2596587.1,76.361
315,265,859,27.48,33.34,0.804,55.37,0.0,3134508.3,66.368
316,682,704,31.79,42.5,0.181,65.17,40.7,3480456.0,72.05
317,1101,2960,24.51,36.43,1.382,47.08,89.46,9329492.1,35.0
318,872,2991,30.45,37.78,1.458,75.45,108.55,11076971.6,35.0
319,1047,1623,34.72,46.62,0.707,90.76,159.48,3413839.3,60.59
320,1122,72,30.76,37.4,0.266,38.56,100.63,271039.6,100.0
321,1043,1803,33.06,47.18,0.839,75.3,0.0,5345448.4,39.142
322,1323,83,16.54,19.25,0.478,50.04,81.71,270151.1,89.42
323,71,2875,29.99,39.2,1.107,67.55,18.22,10216702.7,35.0
324,1063,84,26.02,31.37,0.074,82.62,56.29,304821.3,100.0
325,343,1742,36.13,41.98,0.555,65.74,141.41,6126917.3,35.0
326,1369,2144,41.33,49.32,0.05,71.43,205.57,8187404.0,35.0
327,1009,229,25.67,34.57,0.05,53.4,0.0,670656.4,89.275
328,127,1445,28.13,33.15,1.322,86.21,134.51,5465406.1,41.778
329,167,299,27.59,32.59,1.786,87.77,51.96,860763.5,81.359
330,914,2109,32.53,43.44,1.502,43.95,110.39,5702771.4,42.306
331,1197,1449,23.89,34.02,0.868,68.32,206.08,5516706.5,35.0
332,774,240,30.17,31.77,1.646,52.73,212.51,483589.2,96.674
333,1798,1170,26.5,34.97,0.991,50.88,40.0,5564512.8,46.943
334,991,337,28.83,37.86,0.05,56.95,66.84,891942.0,90.693
335,1610,1353,39.76,47.53,2.234,56.26,0.0,3444506.5,74.563
336,653,97,37.49,48.24,1.98,37.14,28.77,292209.5,96.885
337,1553,838,34.44,51.88,0.588,57.42,59.49,2471116.3,79.156
338,1498,1663,32.27,32.45,0.065,92.02,82.15,3742891.0,58.622
339,1878,2861,21.85,26.49,0.964,63.2,95.75,8567044.1,35.0
340,76,2816,30.83,38.45,0.299,63.7,150.78,10974905.8,35.0
341,1628,848,27.76,37.7,1.114,81.0,163.88,2180427.2,73.437
342,528,430,27.29,30.74,0.535,56.46,0.0,915415.3,88.008
343,1155,2537,31.02,37.86,0.802,69.62,84.82,12654675.9,35.0
344,829,1936,20.57,31.66,1.561,49.57,49.29,7348253.5,35.0
345,809,599,23.35,32.27,0.487,56.53,109.15,2963068.6,74.263
346,137,2159,37.43,42.77,1.362,50.89,196.1,8230977.2,35.0
347,372,2146,33.55,37.48,0.487,79.06,134.21,4320093.0,52.851
348,1526,809,22.24,26.99,0.941,86.88,179.28,3715108.7,66.877
349,602,625,29.08,33.78,0.051,71.0,64.84,2290644.2,81.426
350,1150,2798,29.74,39.4,0.364,71.65,103.47,9093814.2,35.0
351,446,372,23.25,36.31,1.439,74.67,207.78,907422.8,91.862
352,1641,877,27.61,37.1,1.301,62.95,192.14,2119722.4,77.012
353,947,624,29.2,34.76,0.334,99.0,28.92,1435072.3,79.871
354,913,2864,33.33,44.04,0.413,71.13,0.0,13625421.9,35.0
355,1767,1690,34.13,46.04,0.824,78.98,0.0,6183775.9,35.0
356,1359,160,24.08,26.09,0.373,75.17,105.21,358072.1,97.978
357,58,1457,21.83,24.14,0.307,66.55,0.0,3526725.7,62.697
358,371,1942,36.15,42.48,0.456,85.94,25.5,5770616.1,36.213
359,964,149,31.92,44.01,0.471,65.74,45.08,486211.5,91.583
360,942,1090,22.1,34.93,2.14,83.03,164.16,4653082.1,55.086
361,290,128,26.45,30.79,0.762,76.08,0.0,265792.6,90.168
362,258,2803,27.09,37.27,1.458,78.34,122.73,11807304.9,35.0
363,1589,968,31.55,41.49,1.002,49.81,0.0,4395322.7,51.52
364,1778,1544,21.57,33.43,0.578,71.16,0.0,4786496.8,56.299
365,1138,2655,23.45,32.77,1.767,56.17,81.61,6134459.3,35.962
366,1662,2396,36.49,43.18,0.694,58.21,0.0,5070338.1,48.838
367,620,1101,27.6,42.58,1.261,54.97,154.36,3345546.3,56.66
368,277,978,27.56,31.45,0.67,69.99,10.42,4575199.6,46.411
369,53,531,29.63,35.87,0.891,74.9,214.94,2582149.4,77.867
370,980,2771,32.91,43.72,0.195,57.01,9.51,9193668.6,35.0
371,812,2110,35.18,42.53,0.398,85.43,111.91,4917376.4,50.267
372,1707,253,35.46,44.6,1.151,66.15,0.0,897567.3,91.22
373,1454,347,27.62,35.84,0.631,60.56,89.04,935595.8,87.623
374,1439,219,40.13,51.25,0.05,60.82,70.53,539303.4,92.862
